                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.84703,                 0.6376,                 1.2199,                 0.9856,                0.98765,                0.99365,                0.80179,                0.70348,                0.41168,                 1.1014,              0.0013532,              0.0013532,              0.0013532
                    100,                0.83414,                0.58412,                 1.2036,                0.99849,                      1,                  0.995,                0.79219,                 0.7211,                0.40222,                 1.1174,              0.0013466,              0.0013466,              0.0013466
                    101,                0.86754,                0.58867,                 1.2221,                0.98604,                0.98765,                0.98779,                0.78751,                0.80578,                0.41215,                 1.1764,                0.00134,                0.00134,                0.00134
                    102,                0.84557,                0.59158,                 1.2185,                0.97528,                0.97417,                0.98108,                0.81261,                0.74507,                0.40049,                 1.1459,              0.0013334,              0.0013334,              0.0013334
                    103,                0.83182,                0.59765,                 1.1912,                0.99892,                      1,                  0.995,                0.81667,                0.71039,                0.38227,                 1.1078,              0.0013268,              0.0013268,              0.0013268
                    104,                 0.9004,                0.62514,                 1.2328,                0.98655,                      1,                0.99488,                0.80852,                0.70017,                0.38448,                 1.1235,              0.0013202,              0.0013202,              0.0013202
                    105,                0.82405,                 0.5937,                  1.188,                0.97439,                      1,                0.99464,                0.79933,                0.75011,                0.40428,                 1.1571,              0.0013136,              0.0013136,              0.0013136
                    106,                0.83896,                0.58168,                 1.2144,                0.98722,                0.98765,                0.99452,                0.80123,                 0.6827,                0.38023,                 1.1113,               0.001307,               0.001307,               0.001307
                    107,                 0.8415,                0.55063,                 1.2081,                0.97375,                      1,                0.99352,                0.81419,                0.69347,                0.36528,                 1.1054,              0.0013004,              0.0013004,              0.0013004
                    108,                0.83859,                0.59027,                 1.2182,                0.98608,                      1,                0.99476,                0.80702,                0.73636,                0.37569,                 1.1255,              0.0012938,              0.0012938,              0.0012938
                    109,                0.84421,                0.59189,                 1.2095,                      1,                0.99739,                  0.995,                0.78705,                0.75893,                0.38396,                 1.1455,              0.0012872,              0.0012872,              0.0012872
                    110,                0.83253,                0.56022,                 1.2122,                0.99301,                0.98765,                0.99488,                0.79001,                0.72557,                0.39554,                 1.1255,              0.0012806,              0.0012806,              0.0012806
                    111,                0.85409,                 0.6033,                 1.2241,                0.97982,                0.98765,                0.98541,                0.80558,                0.73812,                0.38295,                 1.1516,               0.001274,               0.001274,               0.001274
                    112,                0.86385,                0.59653,                 1.2335,                0.98687,                0.98765,                0.99464,                0.79888,                0.74128,                0.39109,                 1.1302,              0.0012674,              0.0012674,              0.0012674
                    113,                0.79239,                0.56362,                 1.1678,                0.96152,                0.96296,                0.97022,                0.79204,                0.74115,                0.39376,                 1.1453,              0.0012608,              0.0012608,              0.0012608
                    114,                0.81829,                0.54228,                 1.1958,                0.96289,                0.96089,                0.97391,                0.78917,                0.74021,                0.39148,                 1.1329,              0.0012542,              0.0012542,              0.0012542
                    115,                0.81595,                0.56381,                 1.2204,                0.96108,                0.97531,                0.98288,                0.81035,                0.68177,                0.37915,                 1.0909,              0.0012476,              0.0012476,              0.0012476
                    116,                0.82012,                0.56107,                 1.1916,                0.95225,                0.98483,                0.98589,                0.77955,                0.76301,                0.38797,                 1.1373,               0.001241,               0.001241,               0.001241
                    117,                 0.8421,                0.57579,                 1.2115,                0.98395,                0.97531,                0.98339,                0.78914,                0.73305,                0.38101,                 1.1291,              0.0012344,              0.0012344,              0.0012344
                    118,                0.81152,                0.56143,                 1.1989,                0.98464,                0.97531,                0.99304,                0.79634,                0.73377,                 0.4062,                 1.1357,              0.0012278,              0.0012278,              0.0012278
                    119,                0.81185,                0.54049,                 1.1959,                0.93886,                0.98765,                0.97864,                0.79553,                 0.7187,                0.40858,                 1.1156,              0.0012212,              0.0012212,              0.0012212
                    120,                0.84149,                0.56168,                 1.2188,                0.98748,                  0.974,                 0.9861,                0.80985,                0.70766,                0.38683,                 1.1136,              0.0012146,              0.0012146,              0.0012146
                    121,                0.77357,                0.55588,                 1.1822,                0.95221,                0.98765,                0.98565,                0.80052,                0.70801,                 0.3874,                 1.1254,               0.001208,               0.001208,               0.001208
                    122,                0.84636,                0.57983,                 1.2222,                0.98482,                      1,                0.99463,                0.79601,                0.74281,                0.37344,                 1.1365,              0.0012014,              0.0012014,              0.0012014
                    123,                0.79623,                0.54635,                 1.1828,                 0.9806,                0.98765,                0.99278,                0.80485,                0.74316,                0.40287,                 1.1369,              0.0011948,              0.0011948,              0.0011948
                    124,                0.82604,                0.56509,                 1.1996,                0.98754,                0.98765,                0.98587,                0.80994,                 0.6895,                0.36683,                 1.1104,              0.0011882,              0.0011882,              0.0011882
                    125,                0.77223,                0.53513,                 1.1665,                0.98505,                0.98765,                0.98574,                 0.8024,                0.70609,                0.36721,                 1.1257,              0.0011816,              0.0011816,              0.0011816
                    126,                0.81456,                0.56022,                 1.1979,                0.98554,                0.98765,                0.98727,                0.81431,                0.69081,                0.37452,                 1.1204,               0.001175,               0.001175,               0.001175
                    127,                0.81841,                0.57393,                 1.2016,                0.98637,                      1,                0.99463,                0.82081,                0.69606,                0.36288,                 1.0719,              0.0011684,              0.0011684,              0.0011684
                    128,                0.77611,                0.54719,                 1.1663,                0.97479,                0.98765,                0.98461,                0.82043,                0.67404,                0.36684,                 1.0812,              0.0011618,              0.0011618,              0.0011618
                    129,                0.80258,                0.56118,                 1.2025,                0.98779,                0.99874,                0.99427,                0.81011,                0.71446,                0.37476,                 1.1234,              0.0011552,              0.0011552,              0.0011552
                    130,                0.77401,                0.56297,                 1.1811,                0.97495,                0.97531,                0.99186,                0.79765,                0.72523,                0.39896,                 1.1416,              0.0011486,              0.0011486,              0.0011486
                    131,                0.83348,                0.57777,                 1.2094,                0.97245,                0.96296,                0.97845,                0.79178,                0.75337,                0.41296,                 1.1489,               0.001142,               0.001142,               0.001142
                    132,                0.76112,                0.53274,                 1.1586,                0.97549,                0.98261,                0.99282,                0.79465,                0.73401,                0.39923,                 1.1438,              0.0011354,              0.0011354,              0.0011354
                    133,                0.79357,                0.54611,                 1.1709,                0.96668,                0.97531,                0.98368,                0.81467,                 0.7115,                0.42736,                  1.117,              0.0011288,              0.0011288,              0.0011288
                    134,                0.80339,                0.56199,                 1.1896,                0.96852,                0.98765,                0.97839,                0.80762,                0.67642,                0.39144,                 1.0996,              0.0011222,              0.0011222,              0.0011222
                    135,                 0.7694,                 0.5457,                 1.1857,                0.94041,                0.97531,                0.98257,                0.79474,                0.68636,                 0.4133,                   1.11,              0.0011156,              0.0011156,              0.0011156
                    136,                0.82239,                0.57402,                 1.2139,                0.98342,                0.97531,                0.99367,                0.79852,                0.72466,                0.38338,                 1.1434,               0.001109,               0.001109,               0.001109
                    137,                 0.8087,                0.55795,                 1.1976,                 0.9876,                0.98765,                0.99406,                0.80518,                0.72049,                0.38214,                 1.1495,              0.0011024,              0.0011024,              0.0011024
                    138,                0.80098,                0.54308,                 1.1895,                0.99832,                0.97531,                0.99464,                 0.8107,                0.73192,                0.37144,                 1.1516,              0.0010958,              0.0010958,              0.0010958
                    139,                 0.7486,                0.52162,                 1.1722,                      1,                0.99994,                  0.995,                 0.8143,                 0.7054,                0.36313,                 1.1517,              0.0010892,              0.0010892,              0.0010892
                    140,                0.77881,                0.53196,                 1.1744,                      1,                0.99773,                  0.995,                0.81367,                0.73009,                 0.3661,                 1.1519,              0.0010826,              0.0010826,              0.0010826
                    141,                0.78566,                0.52338,                  1.183,                0.98376,                      1,                0.99476,                0.81828,                 0.6985,                0.34719,                 1.1298,               0.001076,               0.001076,               0.001076
                    142,                0.75148,                 0.5209,                  1.165,                0.96422,                      1,                 0.9939,                0.82775,                0.69558,                0.36163,                 1.1324,              0.0010694,              0.0010694,              0.0010694
                    143,                0.81708,                0.55639,                 1.1934,                0.97388,                0.98765,                0.98398,                0.80055,                 0.7475,                 0.3566,                 1.1619,              0.0010628,              0.0010628,              0.0010628
                    144,                0.78335,                0.54836,                  1.183,                 0.9878,                0.99983,                0.99354,                0.79513,                  0.741,                0.36471,                 1.1611,              0.0010562,              0.0010562,              0.0010562
                    145,                 0.7433,                0.50638,                 1.1506,                0.98085,                0.98765,                0.99328,                0.78876,                0.73335,                0.39151,                 1.1395,              0.0010496,              0.0010496,              0.0010496
                    146,                0.73904,                0.49192,                 1.1443,                0.97334,                0.98765,                0.99341,                0.81562,                0.71935,                0.38752,                 1.1458,               0.001043,               0.001043,               0.001043
                    147,                 0.7598,                0.50303,                   1.17,                0.97525,                      1,                0.99118,                0.81437,                0.72637,                 0.3656,                 1.1327,              0.0010364,              0.0010364,              0.0010364
